         8954 function calls (8718 primitive calls) in 3.403 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:340(JpegImageFile)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:345(_open)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:396(load_read)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:477(_getmp)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:501(_getmp)
        3    0.000    0.000    0.000    0.000 JpegImagePlugin.py:54(Skip)
        2    0.000    0.000    0.000    0.000 JpegImagePlugin.py:59(APP)
        1    0.000    0.000    0.003    0.003 JpegImagePlugin.py:626(_save)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:635(<listcomp>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:673(validate_qtables)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:797(jpeg_factory)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1036(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1047(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:145(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:237(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:259(PngInfo)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:343(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:668(PngImageFile)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:47(PpmImageFile)
        1    0.000    0.000    0.008    0.008 TiffImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1019(TiffImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:132(<dictcomp>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1768(AppendingTiffWriter)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:260(_accept)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:291(IFDRational)
       26    0.000    0.000    0.000    0.000 TiffImagePlugin.py:376(_delegate)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:418(ImageFileDirectory_v2)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:650(_register_loader)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:651(decorator)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:661(_register_writer)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:662(decorator)
        8    0.000    0.000    0.000    0.000 TiffImagePlugin.py:668(_register_basic)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:920(ImageFileDirectory_v1)
        2    0.000    0.000    0.000    0.000 __init__.py:1252(append)
        2    0.000    0.000    0.000    0.000 __init__.py:1306(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:1357(_fixupParents)
        2    0.000    0.000    0.000    0.000 __init__.py:1426(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        2    0.000    0.000    0.000    0.000 __init__.py:2062(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        2    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:328(namedtuple)
       15    0.000    0.000    0.000    0.000 __init__.py:38(__getattr__)
        4    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:786(__init__)
        1    0.000    0.000    0.000    0.000 _binary.py:60(i32le)
       22    0.000    0.000    0.000    0.000 _binary.py:80(i16be)
        1    0.000    0.000    0.000    0.000 _binary.py:84(i32be)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _util.py:5(isPath)
       20    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
        5    0.000    0.000    0.000    0.000 abc.py:105(__new__)
        2    0.000    0.000    0.000    0.000 abc.py:110(register)
        1    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
      8/3    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
